periodo,variable,n_registros,psi,ks,p_valor,severidad
2025-07,capital_prestado,644,0.038115410331395407,0.04738897645267337,0.13170278074021402,verde
2025-07,plazo_meses,644,0.3277191946443259,0.2743239095590491,3.1687436587785e-40,rojo
2025-07,edad_cliente,644,0.02199268950634951,0.042801391992337234,0.21657160605940248,verde
2025-07,salario_cliente,644,0.03422214721984054,0.06129296041540325,0.02136934647212969,verde
2025-07,total_otros_prestamos,644,0.05950062612936403,0.06962334063333575,0.005753083764480872,verde
2025-07,cuota_pactada,644,0.07322783412055002,0.1338406266634442,8.378848845047551e-10,verde
2025-07,puntaje_datacredito,644,0.018351928884670708,0.02855191895274147,0.7024755363979254,verde
2025-07,cant_creditosvigentes,644,0.024492837020681377,0.04884576434287369,0.11125540723958259,verde
2025-07,huella_consulta,644,0.021813875775143033,0.04324695409005247,0.20682782904628041,verde
2025-07,creditos_sectorFinanciero,644,0.022005922374346024,0.030793085706575463,0.6100225928282286,verde
2025-07,creditos_sectorCooperativo,644,0.0038932704306583452,0.023652971624885666,0.8828395376776335,verde
2025-07,creditos_sectorReal,644,0.020921357694618434,0.04873492984435723,0.11271253200700702,verde
2025-07,promedio_ingresos_datacredito,644,0.3265829016354468,0.1930144542813585,3.750320391669136e-13,rojo
2025-08,capital_prestado,555,0.03294549671953209,0.06121136653483272,0.03869168358223298,verde
2025-08,plazo_meses,555,0.433556254932715,0.2951438667122601,1.2345547200345099e-40,rojo
2025-08,edad_cliente,555,0.007299317077486292,0.016563328666455934,0.9983986355185546,verde
2025-08,salario_cliente,555,0.19923524521356512,0.17793685306218132,6.938864640799901e-15,amarillo
2025-08,total_otros_prestamos,555,0.24090850182368492,0.14546441882321567,4.4748832836262847e-10,amarillo
2025-08,cuota_pactada,555,0.12650885777902773,0.16287208669638842,1.5671012714743779e-12,amarillo
2025-08,puntaje_datacredito,555,0.019882934583411404,0.05603558110326268,0.07350116474905304,verde
2025-08,cant_creditosvigentes,555,0.009932982699743983,0.03265803401874062,0.62263130989771,verde
2025-08,huella_consulta,555,0.051141947660417866,0.10146651784274124,4.045982619458243e-05,verde
2025-08,creditos_sectorFinanciero,555,0.0016297680900538897,0.016144169951761267,0.9989303897459318,verde
2025-08,creditos_sectorCooperativo,555,0.00824504142682922,0.0349589981483035,0.5356912649753626,verde
2025-08,creditos_sectorReal,555,0.006674916956362622,0.017446809425802123,0.996592110244734,verde
2025-08,promedio_ingresos_datacredito,555,0.3398405063687232,0.2008401853507435,3.0450978514964587e-14,rojo
2025-09,capital_prestado,361,0.04961722369740987,0.0626885875089025,0.12602044314536118,verde
2025-09,plazo_meses,361,0.18675568248479624,0.23313135775071098,5.100394204225062e-17,amarillo
2025-09,edad_cliente,361,0.021115817738475574,0.04248232245248573,0.5450357915176782,verde
2025-09,salario_cliente,361,0.14835104857488762,0.09743431715699141,0.0025934427689065236,amarillo
2025-09,total_otros_prestamos,361,0.32136877119828716,0.18548381230620495,6.7916107461624e-11,rojo
2025-09,cuota_pactada,361,0.08903902198228474,0.13667903472291565,4.217621998987982e-06,verde
2025-09,puntaje_datacredito,361,0.04469789798528949,0.027742847094919587,0.9456087418092134,verde
2025-09,cant_creditosvigentes,361,0.011983448218678824,0.02080538066655252,0.9975840842945136,verde
2025-09,huella_consulta,361,0.032743100496900227,0.05405199873828631,0.2544572334245,verde
2025-09,creditos_sectorFinanciero,361,0.019837328583468428,0.028817394719979572,0.9276668599814292,verde
2025-09,creditos_sectorCooperativo,361,0.0017422353945177596,0.01651965410000733,0.9999656738584106,verde
2025-09,creditos_sectorReal,361,0.0003364285852780312,0.012256741538483884,0.999999997178357,verde
2025-09,promedio_ingresos_datacredito,361,0.3682553017458037,0.2536915073563131,8.978338035047023e-16,rojo
2025-10,capital_prestado,231,0.1037894172957884,0.13665661147160313,0.00040043342485602304,amarillo
2025-10,plazo_meses,231,0.12593609033953582,0.1579208171473629,2.304271435770204e-05,amarillo
2025-10,edad_cliente,231,0.10737994812027198,0.1020628134497793,0.0171428041489026,amarillo
2025-10,salario_cliente,231,0.1665289891266878,0.10531344202864851,0.012616766268345694,amarillo
2025-10,total_otros_prestamos,231,0.31127529828383227,0.20288138693486032,1.374089626049082e-08,rojo
2025-10,cuota_pactada,231,0.10978644963677688,0.15743149187885408,2.4722768104440557e-05,amarillo
2025-10,puntaje_datacredito,231,0.02717929200263632,0.0667513544618525,0.25720698786673174,verde
2025-10,cant_creditosvigentes,231,0.038930615894698574,0.04771567256647227,0.6668252609439327,verde
2025-10,huella_consulta,231,0.035799786670708794,0.06733880426885913,0.2481851272932374,verde
2025-10,creditos_sectorFinanciero,231,0.012929911193107678,0.044493463089786855,0.7472747308119709,verde
2025-10,creditos_sectorCooperativo,231,0.009324393225066929,0.03624727305796771,0.9183577204862362,verde
2025-10,creditos_sectorReal,231,0.00393137449133125,0.022680510386406838,0.9996863386217737,verde
2025-10,promedio_ingresos_datacredito,231,0.3236793858491123,0.26759817080267245,4.000573277401388e-11,rojo
2025-11,capital_prestado,166,0.1417271557730787,0.11234529907646812,0.03025755157199563,amarillo
2025-11,plazo_meses,166,0.03966331915556453,0.08314949940607497,0.19879533519868361,verde
2025-11,edad_cliente,166,0.12015766152902557,0.13683427910735813,0.004036630392067903,amarillo
2025-11,salario_cliente,166,0.11704373484002206,0.10136559606772759,0.06562240770048054,amarillo
2025-11,total_otros_prestamos,166,0.23909237909954098,0.14741275917707594,0.0014944740598699104,amarillo
2025-11,cuota_pactada,166,0.16129226727471704,0.11010334007311162,0.03566970717632961,amarillo
2025-11,puntaje_datacredito,166,0.08869546310034956,0.10616237792445321,0.047254005190484595,verde
2025-11,cant_creditosvigentes,166,0.047629090492993596,0.060679576745751085,0.5653144520196898,verde
2025-11,huella_consulta,166,0.07265922498875863,0.05079568692530928,0.7750656400950621,verde
2025-11,creditos_sectorFinanciero,166,0.03548801385724575,0.07103659325772882,0.3665378634091308,verde
2025-11,creditos_sectorCooperativo,166,0.002234563158358986,0.022810746447235575,0.9999879062588393,verde
2025-11,creditos_sectorReal,166,0.034414283530787654,0.0426978863172911,0.9152329813737046,verde
2025-11,promedio_ingresos_datacredito,166,0.5339751530143891,0.2943112405338112,1.7492849423221938e-10,rojo
2025-12,capital_prestado,174,0.2919570788695814,0.2457627118644068,1.4963502602447988e-09,rojo
2025-12,plazo_meses,174,0.05464878828588908,0.27051966974259356,1.657705049568505e-11,verde
2025-12,edad_cliente,174,0.09554071112966321,0.10830637438502044,0.03388540976280696,verde
2025-12,salario_cliente,174,0.1816882853412149,0.16977963632172932,9.143868890509578e-05,amarillo
2025-12,total_otros_prestamos,174,0.35076811751011205,0.23913890512370936,4.6214563781821605e-09,rojo
2025-12,cuota_pactada,174,0.10281187636210984,0.1098072949679374,0.03026209366063235,amarillo
2025-12,puntaje_datacredito,174,0.039912372475591484,0.058408183940992564,0.5849881608269089,verde
2025-12,cant_creditosvigentes,174,0.04812529702402725,0.050925659156575986,0.7484724429916307,verde
2025-12,huella_consulta,174,0.10520714693199698,0.0852959173313797,0.15780361023252862,amarillo
2025-12,creditos_sectorFinanciero,174,0.0422399810477045,0.0736973957518734,0.2976951560900785,verde
2025-12,creditos_sectorCooperativo,174,0.047999346577967124,0.08817428239807046,0.1328218256112097,verde
2025-12,creditos_sectorReal,174,0.009244430940846234,0.024460615240243344,0.9999010715552126,verde
2025-12,promedio_ingresos_datacredito,174,0.6153621231572716,0.27975683135678847,2.710020844010386e-10,rojo
2026-01,capital_prestado,127,0.278649786020986,0.2260739131170313,4.229152747787086e-06,rojo
2026-01,plazo_meses,127,0.1255819353345909,0.2642250137687193,3.379786102335657e-08,amarillo
2026-01,edad_cliente,127,0.0878603247944468,0.07851365499818608,0.4025553207790044,verde
2026-01,salario_cliente,127,0.08344208489558703,0.12596075586039934,0.034424810277716246,verde
2026-01,total_otros_prestamos,127,0.2340686299787477,0.182675661603412,0.0003983711446519996,amarillo
2026-01,cuota_pactada,127,0.3010672835803617,0.10327385371886999,0.12910108387381702,rojo
2026-01,puntaje_datacredito,127,0.0668737056530942,0.07070063035384644,0.5353664199798083,verde
2026-01,cant_creditosvigentes,127,0.016025875962576614,0.04214167965218241,0.9725315400868971,verde
2026-01,huella_consulta,127,0.10068710348937361,0.0472459741768374,0.930018928488845,amarillo
2026-01,creditos_sectorFinanciero,127,0.007149672686796452,0.032064668808258534,0.999078661396777,verde
2026-01,creditos_sectorCooperativo,127,0.017317224058857904,0.050026033687780025,0.8970112538063231,verde
2026-01,creditos_sectorReal,127,0.04839886890530748,0.09516111751249523,0.1942841388344181,verde
2026-01,promedio_ingresos_datacredito,127,0.9753137838645956,0.2800712156129932,1.4089782673890541e-06,rojo
